"DateTime","Hinta"
"2023-08-13 00:00:00",1.65
"2023-08-13 01:00:00",1.26
"2023-08-13 02:00:00",1.31
"2023-08-13 03:00:00",1.33
"2023-08-13 04:00:00",1.39
"2023-08-13 05:00:00",1.46
"2023-08-13 06:00:00",1.15
"2023-08-13 07:00:00",1.3
"2023-08-13 08:00:00",1.64
"2023-08-13 09:00:00",1.97
"2023-08-13 10:00:00",2.11
"2023-08-13 11:00:00",1.96
"2023-08-13 12:00:00",1.71
"2023-08-13 13:00:00",0.75
"2023-08-13 14:00:00",0.14
"2023-08-13 15:00:00",0.19
"2023-08-13 16:00:00",0.86
"2023-08-13 17:00:00",2.14
"2023-08-13 18:00:00",2.39
"2023-08-13 19:00:00",2.41
"2023-08-13 20:00:00",2.42
"2023-08-13 21:00:00",2.31
"2023-08-13 22:00:00",2.25
"2023-08-13 23:00:00",2.13
"2023-08-14 00:00:00",1.76
"2023-08-14 01:00:00",1.92
"2023-08-14 02:00:00",1.81
"2023-08-14 03:00:00",1.77
"2023-08-14 04:00:00",1.76
"2023-08-14 05:00:00",1.81
"2023-08-14 06:00:00",1.99
"2023-08-14 07:00:00",3.18
"2023-08-14 08:00:00",12.86
"2023-08-14 09:00:00",12.57
"2023-08-14 10:00:00",11.08
"2023-08-14 11:00:00",9.92
"2023-08-14 12:00:00",6.63
"2023-08-14 13:00:00",3.4
"2023-08-14 14:00:00",2.86
"2023-08-14 15:00:00",2.78
"2023-08-14 16:00:00",2.68
"2023-08-14 17:00:00",2.85
"2023-08-14 18:00:00",12.55
"2023-08-14 19:00:00",5.55
"2023-08-14 20:00:00",3.06
"2023-08-14 21:00:00",3.05
"2023-08-14 22:00:00",2.73
"2023-08-14 23:00:00",2.27
"2023-08-15 00:00:00",2.03
"2023-08-15 01:00:00",0.51
"2023-08-15 02:00:00",0.31
"2023-08-15 03:00:00",0.28
"2023-08-15 04:00:00",0.32
"2023-08-15 05:00:00",1.11
"2023-08-15 06:00:00",2.15
"2023-08-15 07:00:00",2.38
"2023-08-15 08:00:00",3.32
"2023-08-15 09:00:00",3.26
"2023-08-15 10:00:00",3.46
"2023-08-15 11:00:00",3.22
"2023-08-15 12:00:00",3.05
"2023-08-15 13:00:00",2.96
"2023-08-15 14:00:00",2.84
"2023-08-15 15:00:00",2.85
"2023-08-15 16:00:00",2.87
"2023-08-15 17:00:00",3.02
"2023-08-15 18:00:00",11.81
"2023-08-15 19:00:00",13.36
"2023-08-15 20:00:00",15.34
"2023-08-15 21:00:00",3.05
"2023-08-15 22:00:00",2.87
"2023-08-15 23:00:00",2.35
"2023-08-16 00:00:00",2.18
"2023-08-16 01:00:00",0.09
"2023-08-16 02:00:00",0
"2023-08-16 03:00:00",0
"2023-08-16 04:00:00",0
"2023-08-16 05:00:00",0
"2023-08-16 06:00:00",0.47
"2023-08-16 07:00:00",1.89
"2023-08-16 08:00:00",2.12
"2023-08-16 09:00:00",2.25
"2023-08-16 10:00:00",2.39
"2023-08-16 11:00:00",2.37
"2023-08-16 12:00:00",2.3
"2023-08-16 13:00:00",2.24
"2023-08-16 14:00:00",2.23
"2023-08-16 15:00:00",2.23
"2023-08-16 16:00:00",2.21
"2023-08-16 17:00:00",2.22
"2023-08-16 18:00:00",3.22
"2023-08-16 19:00:00",3.51
"2023-08-16 20:00:00",2.47
"2023-08-16 21:00:00",2.59
"2023-08-16 22:00:00",2.11
"2023-08-16 23:00:00",1.72
"2023-08-17 00:00:00",0.89
"2023-08-17 01:00:00",0.1
"2023-08-17 02:00:00",0.12
"2023-08-17 03:00:00",0.23
"2023-08-17 04:00:00",0.28
"2023-08-17 05:00:00",0.46
"2023-08-17 06:00:00",0.87
"2023-08-17 07:00:00",3.23
"2023-08-17 08:00:00",4.96
"2023-08-17 09:00:00",2.29
"2023-08-17 10:00:00",2.34
"2023-08-17 11:00:00",2.4
"2023-08-17 12:00:00",2.35
"2023-08-17 13:00:00",2.3
"2023-08-17 14:00:00",2.28
"2023-08-17 15:00:00",2.31
"2023-08-17 16:00:00",2.31
"2023-08-17 17:00:00",2.35
"2023-08-17 18:00:00",3.03
"2023-08-17 19:00:00",3.34
"2023-08-17 20:00:00",3.1
"2023-08-17 21:00:00",3.23
"2023-08-17 22:00:00",2.95
"2023-08-17 23:00:00",2.48
"2023-08-18 00:00:00",2.19
"2023-08-18 01:00:00",2.24
"2023-08-18 02:00:00",2.18
"2023-08-18 03:00:00",2.12
"2023-08-18 04:00:00",2.01
"2023-08-18 05:00:00",2.04
"2023-08-18 06:00:00",2.62
"2023-08-18 07:00:00",14.8
"2023-08-18 08:00:00",25.86
"2023-08-18 09:00:00",33.54
"2023-08-18 10:00:00",23.31
"2023-08-18 11:00:00",18.34
"2023-08-18 12:00:00",16.74
"2023-08-18 13:00:00",31
"2023-08-18 14:00:00",18.55
"2023-08-18 15:00:00",11.1
"2023-08-18 16:00:00",11.82
"2023-08-18 17:00:00",16.74
"2023-08-18 18:00:00",31
"2023-08-18 19:00:00",24.8
"2023-08-18 20:00:00",23.13
"2023-08-18 21:00:00",19.26
"2023-08-18 22:00:00",15.8
"2023-08-18 23:00:00",1.94
"2023-08-19 00:00:00",1.78
"2023-08-19 01:00:00",12.86
"2023-08-19 02:00:00",8.01
"2023-08-19 03:00:00",7.94
"2023-08-19 04:00:00",9.18
"2023-08-19 05:00:00",11.56
"2023-08-19 06:00:00",12.66
"2023-08-19 07:00:00",12.99
"2023-08-19 08:00:00",14.63
"2023-08-19 09:00:00",14.99
"2023-08-19 10:00:00",18.6
"2023-08-19 11:00:00",26.33
"2023-08-19 12:00:00",14.53
"2023-08-19 13:00:00",12.68
"2023-08-19 14:00:00",16.17
"2023-08-19 15:00:00",15.62
"2023-08-19 16:00:00",16.51
"2023-08-19 17:00:00",18.6
"2023-08-19 18:00:00",16.62
"2023-08-19 19:00:00",20.6
"2023-08-19 20:00:00",23.21
"2023-08-19 21:00:00",16.71
"2023-08-19 22:00:00",17.26
"2023-08-19 23:00:00",15.34
"2023-08-20 00:00:00",5.04
"2023-08-20 01:00:00",6.23
"2023-08-20 02:00:00",4.57
"2023-08-20 03:00:00",4.96
"2023-08-20 04:00:00",3.3
"2023-08-20 05:00:00",3.53
"2023-08-20 06:00:00",4.75
"2023-08-20 07:00:00",3.85
"2023-08-20 08:00:00",9.2
"2023-08-20 09:00:00",12.27
"2023-08-20 10:00:00",12.4
"2023-08-20 11:00:00",12.4
"2023-08-20 12:00:00",12.4
"2023-08-20 13:00:00",9.9
"2023-08-20 14:00:00",12.4
"2023-08-20 15:00:00",12.26
"2023-08-20 16:00:00",9.08
"2023-08-20 17:00:00",12.4
"2023-08-20 18:00:00",18.59
"2023-08-20 19:00:00",24.77
"2023-08-20 20:00:00",31
"2023-08-20 21:00:00",24.92
"2023-08-20 22:00:00",31
"2023-08-20 23:00:00",15.71
"2023-08-21 00:00:00",12.4
"2023-08-21 01:00:00",13.88
"2023-08-21 02:00:00",12.61
"2023-08-21 03:00:00",12.24
"2023-08-21 04:00:00",11.79
"2023-08-21 05:00:00",12.08
"2023-08-21 06:00:00",14.62
"2023-08-21 07:00:00",43.4
"2023-08-21 08:00:00",40.31
"2023-08-21 09:00:00",68.19
