"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila mediaani [°C]"
"Turku Artukainen","2023","8","13","00:00","14.4"
"Turku Artukainen","2023","8","13","01:00","13.7"
"Turku Artukainen","2023","8","13","02:00","12.9"
"Turku Artukainen","2023","8","13","03:00","12.6"
"Turku Artukainen","2023","8","13","04:00","12.7"
"Turku Artukainen","2023","8","13","05:00","12.3"
"Turku Artukainen","2023","8","13","06:00","11.6"
"Turku Artukainen","2023","8","13","07:00","12.2"
"Turku Artukainen","2023","8","13","08:00","15.6"
"Turku Artukainen","2023","8","13","09:00","16.6"
"Turku Artukainen","2023","8","13","10:00","17.5"
"Turku Artukainen","2023","8","13","11:00","19.2"
"Turku Artukainen","2023","8","13","12:00","19.4"
"Turku Artukainen","2023","8","13","13:00","19.5"
"Turku Artukainen","2023","8","13","14:00","19.3"
"Turku Artukainen","2023","8","13","15:00","19.6"
"Turku Artukainen","2023","8","13","16:00","18.8"
"Turku Artukainen","2023","8","13","17:00","19.1"
"Turku Artukainen","2023","8","13","18:00","19.6"
"Turku Artukainen","2023","8","13","19:00","19.2"
"Turku Artukainen","2023","8","13","20:00","17.6"
"Turku Artukainen","2023","8","13","21:00","17.6"
"Turku Artukainen","2023","8","13","22:00","17.3"
"Turku Artukainen","2023","8","13","23:00","16.7"
"Turku Artukainen","2023","8","14","00:00","16.6"
"Turku Artukainen","2023","8","14","01:00","16.6"
"Turku Artukainen","2023","8","14","02:00","16.6"
"Turku Artukainen","2023","8","14","03:00","16.6"
"Turku Artukainen","2023","8","14","04:00","15"
"Turku Artukainen","2023","8","14","05:00","14.3"
"Turku Artukainen","2023","8","14","06:00","13.8"
"Turku Artukainen","2023","8","14","07:00","13.7"
"Turku Artukainen","2023","8","14","08:00","14.8"
"Turku Artukainen","2023","8","14","09:00","18.1"
"Turku Artukainen","2023","8","14","10:00","19.3"
"Turku Artukainen","2023","8","14","11:00","20.1"
"Turku Artukainen","2023","8","14","12:00","21.4"
"Turku Artukainen","2023","8","14","13:00","21.5"
"Turku Artukainen","2023","8","14","14:00","22.9"
"Turku Artukainen","2023","8","14","15:00","22.7"
"Turku Artukainen","2023","8","14","16:00","22.4"
"Turku Artukainen","2023","8","14","17:00","22.1"
"Turku Artukainen","2023","8","14","18:00","21.6"
"Turku Artukainen","2023","8","14","19:00","21.1"
"Turku Artukainen","2023","8","14","20:00","20"
"Turku Artukainen","2023","8","14","21:00","19.1"
"Turku Artukainen","2023","8","14","22:00","18.3"
"Turku Artukainen","2023","8","14","23:00","17.6"
"Turku Artukainen","2023","8","15","00:00","17.3"
"Turku Artukainen","2023","8","15","01:00","17.2"
"Turku Artukainen","2023","8","15","02:00","17.2"
"Turku Artukainen","2023","8","15","03:00","17"
"Turku Artukainen","2023","8","15","04:00","16.5"
"Turku Artukainen","2023","8","15","05:00","16"
"Turku Artukainen","2023","8","15","06:00","15.7"
"Turku Artukainen","2023","8","15","07:00","16.2"
"Turku Artukainen","2023","8","15","08:00","17.4"
"Turku Artukainen","2023","8","15","09:00","18.7"
"Turku Artukainen","2023","8","15","10:00","20.3"
"Turku Artukainen","2023","8","15","11:00","22"
"Turku Artukainen","2023","8","15","12:00","22.7"
"Turku Artukainen","2023","8","15","13:00","23.1"
"Turku Artukainen","2023","8","15","14:00","23.7"
"Turku Artukainen","2023","8","15","15:00","23.8"
"Turku Artukainen","2023","8","15","16:00","23.4"
"Turku Artukainen","2023","8","15","17:00","23.5"
"Turku Artukainen","2023","8","15","18:00","23.5"
"Turku Artukainen","2023","8","15","19:00","23.1"
"Turku Artukainen","2023","8","15","20:00","22.7"
"Turku Artukainen","2023","8","15","21:00","22.2"
"Turku Artukainen","2023","8","15","22:00","21.5"
"Turku Artukainen","2023","8","15","23:00","21.4"
"Turku Artukainen","2023","8","16","00:00","21.1"
"Turku Artukainen","2023","8","16","01:00","21.1"
"Turku Artukainen","2023","8","16","02:00","21.2"
"Turku Artukainen","2023","8","16","03:00","20.9"
"Turku Artukainen","2023","8","16","04:00","20.4"
"Turku Artukainen","2023","8","16","05:00","20.3"
"Turku Artukainen","2023","8","16","06:00","19.7"
"Turku Artukainen","2023","8","16","07:00","19.1"
"Turku Artukainen","2023","8","16","08:00","18.7"
"Turku Artukainen","2023","8","16","09:00","18.9"
"Turku Artukainen","2023","8","16","10:00","19.2"
"Turku Artukainen","2023","8","16","11:00","18.8"
"Turku Artukainen","2023","8","16","12:00","19.9"
"Turku Artukainen","2023","8","16","13:00","20.4"
"Turku Artukainen","2023","8","16","14:00","21.3"
"Turku Artukainen","2023","8","16","15:00","22.2"
"Turku Artukainen","2023","8","16","16:00","20.5"
"Turku Artukainen","2023","8","16","17:00","19.1"
"Turku Artukainen","2023","8","16","18:00","18.9"
"Turku Artukainen","2023","8","16","19:00","19.1"
"Turku Artukainen","2023","8","16","20:00","19.1"
"Turku Artukainen","2023","8","16","21:00","19"
"Turku Artukainen","2023","8","16","22:00","18.6"
"Turku Artukainen","2023","8","16","23:00","18.2"
"Turku Artukainen","2023","8","17","00:00","17.8"
"Turku Artukainen","2023","8","17","01:00","17.1"
"Turku Artukainen","2023","8","17","02:00","16.7"
"Turku Artukainen","2023","8","17","03:00","16.7"
"Turku Artukainen","2023","8","17","04:00","16.3"
"Turku Artukainen","2023","8","17","05:00","15.6"
"Turku Artukainen","2023","8","17","06:00","14.8"
"Turku Artukainen","2023","8","17","07:00","14.7"
"Turku Artukainen","2023","8","17","08:00","17"
"Turku Artukainen","2023","8","17","09:00","18.1"
"Turku Artukainen","2023","8","17","10:00","18.8"
"Turku Artukainen","2023","8","17","11:00","19.5"
"Turku Artukainen","2023","8","17","12:00","20.4"
"Turku Artukainen","2023","8","17","13:00","20.9"
"Turku Artukainen","2023","8","17","14:00","22"
"Turku Artukainen","2023","8","17","15:00","22.9"
"Turku Artukainen","2023","8","17","16:00","23.2"
"Turku Artukainen","2023","8","17","17:00","23.3"
"Turku Artukainen","2023","8","17","18:00","23"
"Turku Artukainen","2023","8","17","19:00","22.7"
"Turku Artukainen","2023","8","17","20:00","22.1"
"Turku Artukainen","2023","8","17","21:00","20.7"
"Turku Artukainen","2023","8","17","22:00","19.2"
"Turku Artukainen","2023","8","17","23:00","17.8"
"Turku Artukainen","2023","8","18","00:00","16.7"
"Turku Artukainen","2023","8","18","01:00","16"
"Turku Artukainen","2023","8","18","02:00","15.1"
"Turku Artukainen","2023","8","18","03:00","15.3"
"Turku Artukainen","2023","8","18","04:00","15.4"
"Turku Artukainen","2023","8","18","05:00","15.2"
"Turku Artukainen","2023","8","18","06:00","14.8"
"Turku Artukainen","2023","8","18","07:00","14.4"
"Turku Artukainen","2023","8","18","08:00","14.8"
"Turku Artukainen","2023","8","18","09:00","15.7"
"Turku Artukainen","2023","8","18","10:00","17.5"
"Turku Artukainen","2023","8","18","11:00","19"
"Turku Artukainen","2023","8","18","12:00","19.5"
"Turku Artukainen","2023","8","18","13:00","20.4"
"Turku Artukainen","2023","8","18","14:00","21"
"Turku Artukainen","2023","8","18","15:00","21.2"
"Turku Artukainen","2023","8","18","16:00","21.8"
"Turku Artukainen","2023","8","18","17:00","21.5"
"Turku Artukainen","2023","8","18","18:00","21"
"Turku Artukainen","2023","8","18","19:00","20.7"
"Turku Artukainen","2023","8","18","20:00","19.7"
"Turku Artukainen","2023","8","18","21:00","19.1"
"Turku Artukainen","2023","8","18","22:00","18.7"
"Turku Artukainen","2023","8","18","23:00","18"
"Turku Artukainen","2023","8","19","00:00","17.6"
"Turku Artukainen","2023","8","19","01:00","17"
"Turku Artukainen","2023","8","19","02:00","16.7"
"Turku Artukainen","2023","8","19","03:00","16.5"
"Turku Artukainen","2023","8","19","04:00","16.3"
"Turku Artukainen","2023","8","19","05:00","16.5"
"Turku Artukainen","2023","8","19","06:00","16.3"
"Turku Artukainen","2023","8","19","07:00","16.1"
"Turku Artukainen","2023","8","19","08:00","16"
"Turku Artukainen","2023","8","19","09:00","15.9"
"Turku Artukainen","2023","8","19","10:00","15.8"
"Turku Artukainen","2023","8","19","11:00","16.3"
"Turku Artukainen","2023","8","19","12:00","17.9"
"Turku Artukainen","2023","8","19","13:00","18.3"
"Turku Artukainen","2023","8","19","14:00","18.3"
"Turku Artukainen","2023","8","19","15:00","18.6"
"Turku Artukainen","2023","8","19","16:00","18.5"
"Turku Artukainen","2023","8","19","17:00","18.1"
"Turku Artukainen","2023","8","19","18:00","18.6"
"Turku Artukainen","2023","8","19","19:00","18.2"
"Turku Artukainen","2023","8","19","20:00","17.9"
"Turku Artukainen","2023","8","19","21:00","17"
"Turku Artukainen","2023","8","19","22:00","15.7"
"Turku Artukainen","2023","8","19","23:00","13.5"
"Turku Artukainen","2023","8","20","00:00","12.6"
"Turku Artukainen","2023","8","20","01:00","12.2"
"Turku Artukainen","2023","8","20","02:00","12.1"
"Turku Artukainen","2023","8","20","03:00","11.1"
"Turku Artukainen","2023","8","20","04:00","10.9"
"Turku Artukainen","2023","8","20","05:00","10.7"
"Turku Artukainen","2023","8","20","06:00","10.9"
"Turku Artukainen","2023","8","20","07:00","10.8"
"Turku Artukainen","2023","8","20","08:00","12.6"
"Turku Artukainen","2023","8","20","09:00","14.1"
